Data type,Indicator type,Indicator,Total,Male,Female,Urban,Rural,Participated in  subsistence agriculture,Not participated in subsistence agriculture
Employed poulation,Informal sector out of agriculture,- Contributing family worker,"31,810","7,998","23,812","14,651","17,159","7,898","23,911"
Unemployed Population,Educational attainment,Total,"  916,944 ","  429,744 ","  487,200 ","  217,769 ","  699,175 ","  448,544 ","  468,400 "
Unemployed Population,Educational attainment,None,"  362,983 ","  173,859 ","  189,123 ","  34,580 ","  328,402 ","  208,142 ","  154,840 "
Unemployed Population,Educational attainment,Primary,"  282,708 ","  133,000 ","  149,708 ","  47,556 ","  235,151 ","  159,300 ","  123,408 "
Unemployed Population,Educational attainment,Lower secondary,"  68,563 ","  29,476 ","  39,087 ","  23,654 ","  44,909 ","  27,647 ","  40,916 "
Unemployed Population,Educational attainment,Upper secondary,"  151,494 ","  68,537 ","  82,957 ","  74,449 ","  77,045 ","  45,907 ","  105,586 "
Unemployed Population,Educational attainment,University,"  51,197 ","  24,872 ","  26,325 ","  37,530 ","  13,667 ","  7,547 ","  43,650 "
Unemployed Population,Method of seeking employment,Total,"  859,472 ","  403,228 ","  456,244 ","  199,772 ","  659,700 ","  422,571 ","  436,901 "
Unemployed Population,Method of seeking employment,"Arranging for financial ressources,applying for permits,licences","  144,316 ","  59,355 ","  84,961 ","  34,021 ","  110,295 ","  72,624 ","  71,692 "
Unemployed Population,Method of seeking employment,"Looking for land,premises,machinery,supplies,farming inputs","  10,477 ","  4,691 ","  5,786 ","  1,890 ","  8,587 ","  6,084 ","  4,393 "
Unemployed Population,Method of seeking employment,"Seeking the assistance of friends,relatives or other types of intermediaries","  300,463 ","  147,995 ","  152,468 ","  79,893 ","  220,570 ","  136,765 ","  163,698 "
Unemployed Population,Method of seeking employment,Registering with or contacting public or private employment services,"  42,969 ","  18,696 ","  24,273 ","  14,140 ","  28,829 ","  20,058 ","  22,912 "
Unemployed Population,Method of seeking employment,"Applying to employers directly,checking at worksites,farms,factory gates,markets","  322,942 ","  157,138 ","  165,803 ","  46,420 ","  276,522 ","  176,391 ","  146,551 "
Unemployed Population,Method of seeking employment,Placing or answering newspaper or online job advertisements,"  27,574 ","  12,223 ","  15,352 ","  16,179 ","  11,396 ","  6,428 ","  21,147 "
Unemployed Population,Method of seeking employment,Placing and updating resumes on professional or social networking sites online,"  10,730 ","  3,130 ","  7,600 ","  7,228 ","  3,502 ","  4,222 ","  6,508 "
Unemployed Population,Duration of seeking employment,Unemployed population 16+,"  892,022 ","  419,751 ","  472,271 ","  212,699 ","  679,324 ","  435,708 ","  456,314 "
Unemployed Population,Duration of seeking employment,Less than 3 months,"  436,098 ","  220,266 ","  215,833 ","  63,094 ","  373,004 ","  220,266 ","  215,833 "
Unemployed Population,Duration of seeking employment,Less than 6 months,"  196,656 ","  88,051 ","  108,605 ","  48,622 ","  148,034 ","  88,051 ","  108,605 "
Unemployed Population,Duration of seeking employment,Less than 12 months,"  84,662 ","  42,212 ","  42,449 ","  25,940 ","  58,721 ","  42,212 ","  42,449 "
Unemployed Population,Duration of seeking employment,1 year to less than 2 years,"  80,236 ","  33,345 ","  46,891 ","  30,988 ","  49,248 ","  33,345 ","  46,891 "
Unemployed Population,Duration of seeking employment,2 years and above,"  94,371 ","  35,876 ","  58,494 ","  44,053 ","  50,317 ","  35,876 ","  58,494 "
